S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARVIND DHARMAPURI,Bharatiya Janata Party,588244,4074,592318,48.02
2,JEEVANREDDY THATIPARTHI,Indian National Congress,480501,2576,483077,39.16
3,GOVERDHAN BAJIREDDY,Bharat Rashtra Samithi,101929,477,102406,8.3
4,GANTA CHARITHA RAO,Independent,5707,3,5710,0.46
5,YOUGENDAR GATLA,Alliance of Democratic Reforms Party,5439,14,5453,0.44
6,KOTAGIRI SRINIVAS,Independent,5308,4,5312,0.43
7,PUPPALA LIMBADRI,Bahujan Samaj Party,4220,43,4263,0.35000000000000003
8,TUTUKURU JEEVAN REDDY,Independent,4085,6,4091,0.33
9,KANDELA SUMAN,Dharma Samaj Party,3842,44,3886,0.32
10,GOLI. NARESH,Dalita Bahujana Party,3017,7,3024,0.25
11,ARE RAJENDHAR,Independent,2906,1,2907,0.24
12,KOTHAKONDA SHAKTI PRASAD,Independent,2103,3,2106,0.17
13,VEMULAA VIKRAM REDDY,Independent,2073,1,2074,0.17
14,GOPI CHENDRIAH,Independent,1721,2,1723,0.14
15,ALI MANSOOR,Anna YSR Congress Party,1454,14,1468,0.12
16,GUYYA SAIKRISHNA MURTHY,Yuga Thulasi Party,1123,6,1129,0.09
17,SYED ASGAR,Independent,1046,2,1048,0.08
18,MALAVAT VITHAL,Independent,919,-,919,0.07
19,MOGILI RAJKUMAR,India Praja Bandhu Party,825,5,830,0.07
20,RAPELLY SRINIVAS,Independent,791,2,793,0.06
21,DESHABOINA LAXMINARAYANA,Independent,723,-,723,0.06
22,ABBAGONI ASHOK GOUD,Bahujana Left Party,641,8,649,0.05
23,DEVATHI SRINIVAS,Bahujan Mukti Party,624,12,636,0.05
24,B B NAIK,Independent,581,-,581,0.05
25,BHUKYA. NANDU,Vidhyarthula Rajakiya Party,574,6,580,0.05
26,RAPALLY SATYANARAYANA,Independent,425,1,426,0.03
27,RAGI ANIL,Independent,367,8,375,0.03
28,PALAMURI SAI NIKHIL,Independent,303,4,307,0.02
29,PRASHANTH KATRAJI,Independent,284,-,284,0.02
30,NOTA,None of the Above,4440,43,4483,0.36
