S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41
2,DULAL CHANDRA GOSWAMI,Janata Dal (United),516199,1030,517229,44.15
3,GOPAL KUMAR MAHTO,Bahujan Samaj Party,14452,46,14498,1.24
4,GYANESHWAR SOREN,Independent,12307,10,12317,1.05
5,KHALID MOBARAK,Independent,10828,43,10871,0.93
6,RAJ KUMAR MANDAL,Rashtriya Jansambhavna Party,8473,14,8487,0.72
7,VISHNU SINGH,Bharat Jago Janta Party,6303,37,6340,0.54
8,MARANG HANSADA,Peoples Party of India (Democratic),5875,14,5889,0.5
9,BINDU KUMARI,Samaj Shakti Party,5866,18,5884,0.5
10,NOTA,None of the Above,22866,73,22939,1.96
