S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANANTA NAYAK,Bharatiya Janata Party,571133,2790,573923,45.67
2,DHANURJAYA SIDU,Biju Janata Dal,476206,675,476881,37.95
3,BINOD BIHARI NAIK,Indian National Congress,104944,334,105278,8.38
4,JOHN MIRAN MUNDA,Independent,31729,7,31736,2.5300000000000002
5,SAHEBA JUANGA,Manas Lokshakti Dal,11040,3,11043,0.88
6,SUSHANT KUMAR NAIK,Independent,9041,3,9044,0.72
7,LAMBODAR NAIK,Independent,6778,-,6778,0.54
8,HARIHAR MUNDA,Socialist Unity Centre Of India (COMMUNIST),6569,5,6574,0.52
9,RAGHUMANI NAIK,Independent,4550,6,4556,0.36
10,RAM PRASAD HEMBRAM,Bahujan Samaj Party,3884,11,3895,0.31
11,PITABASA NAIK,AJSU Party,2141,3,2144,0.17
12,NOTA,None of the Above,24746,17,24763,1.97
