S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RACHNA BANERJEE,All India Trinamool Congress,700120,2624,702744,46.31
2,LOCKET CHATTERJEE,Bharatiya Janata Party,623867,2024,625891,41.24
3,MANADIP GHOSH,Communist Party of India (Marxist),139250,669,139919,9.22
4,SURAJIT HEMBRAM,Independent,9257,11,9268,0.61
5,SAMIM ALI MOLLICK,Independent,6555,12,6567,0.43
6,JAMINI BHAR,Bahujan Samaj Party,4684,34,4718,0.31
7,AJANTA SARKAR,Bharatiya National Janata Dal,3619,20,3639,0.24
8,SK KAMALUDDIN,Independent,2755,11,2766,0.18
9,SANCHITA BERA,Independent,2632,17,2649,0.17
10,PABAN MAZUMDER,Socialist Unity Centre Of India (COMMUNIST),2367,13,2380,0.16
11,PRADIP PAL,Bharatiya Nyay-Adhikar Raksha Party,2205,15,2220,0.15
12,MRINAL KANTI DAS,Independent,1387,11,1398,0.09
13,NOTA,None of the Above,13250,102,13352,0.88
