S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GODAM NAGESH,Bharatiya Janata Party,558936,9232,568168,45.98
2,ATHRAM SUGUNA,Indian National Congress,472333,5183,477516,38.65
3,ATHRAM SAKKU,Bharat Rashtra Samithi,136463,837,137300,11.11
4,MALOTHU SYAMLAL NAYAK,Alliance of Democratic Reforms Party,7489,10,7499,0.61
5,MESRAM JANGUBAPU,Bahujan Samaj Party,6689,55,6744,0.55
6,RATHOD SUBASH,Independent,6434,94,6528,0.53
7,BUKYA JAIVANTH RAO,Independent,6427,19,6446,0.52
8,CHAVAN SUDHARSHAN,Anna YSR Congress Party,4618,26,4644,0.38
9,GANGADEVI MESRAM,Dharma Samaj Party,3445,23,3468,0.28
10,N. TIRUPATI,Vidhyarthula Rajakiya Party,2284,8,2292,0.19
11,KODAPA VAMAN RAO,Gondwana Dandkaranya Party,1677,8,1685,0.14
12,GEDAM. SAGAR,India Praja Bandhu Party,1537,8,1545,0.13
13,NOTA,None of the Above,11650,112,11762,0.9500000000000001
