S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91
2,SHAHNAWAZ,Rashtriya Janata Dal,578904,1148,580052,46.31
3,SHATRUGHAN PRASAD SUMAN,Independent,13697,49,13746,1.1
4,MD GHOUSUL AZAM,Bahujan Samaj Party,12672,18,12690,1.01
5,MD. MOBINUL HAQUE,Independent,12005,3,12008,0.96
6,MD. ISMAIL,Bharatiya Momin Front,7353,1,7354,0.59
7,AKHILESH KUMAR,Independent,5086,34,5120,0.41000000000000003
8,MUSHTAK ALAM,Independent,4897,2,4899,0.39
9,ZAWED AKHTAR,The National Road Map Party of India,3037,4,3041,0.24
10,NOTA,None of the Above,13438,66,13504,1.08
