S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516006,339,516345,47.79
2,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,434210,345,434555,40.22
3,SUBH NARAYAN CHAUHAN,Bahujan Samaj Party,67155,53,67208,6.22
4,SWAMI PRASAD MAURYA,Rashtriya Shoshit Samaj Party,36559,16,36575,3.39
5,HARIKESH,Azad Adhikar Sena,4094,3,4097,0.38
6,RAMCHANDRA SINGH,Independent,3619,2,3621,0.34
7,SUNIL KUMAR SHUKLA,Bhartiya Lok Nayak Party,3529,3,3532,0.33
8,AMIY UPADHYAY,Independent,2432,1,2433,0.23
9,VEDPRAKASH MISHRA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2332,3,2335,0.22
10,NOTA,None of the Above,9774,8,9782,0.91
