S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NAVEEN JINDAL,Bharatiya Janata Party,540677,1498,542175,44.96
2,DR SUSHIL GUPTA,Aam Aadmi Party,511770,1384,513154,42.55
3,ABHAY SINGH CHAUTALA,Indian National Lok Dal,78362,346,78708,6.53
4,DEEPAK MEHRA,Bahujan Samaj Party,20864,80,20944,1.74
5,JAI KUMAR SAINI HAMIDPUR,Independent,8090,3,8093,0.67
6,PALA RAM SAINI,Jannayak Janta Party,6159,23,6182,0.51
7,SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3251,12,3263,0.27
8,KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2824,35,2859,0.24
9,MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2779,4,2783,0.23
10,INDERJEET KAMBOJ,Peoples Party of India (Democratic),2107,6,2113,0.18
11,PANDIT ANIL UPADHYAY,Independent,2053,3,2056,0.17
12,ADV ASHWINI SHARMA HRITTWAL,Independent,2027,2,2029,0.17
13,COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST),1806,6,1812,0.15
14,SURENDER SINGH,Independent,1599,-,1599,0.13
15,AMIT MALIK,Independent,1503,3,1506,0.12
16,PATASHO DEVI EX-SARPANCH,Independent,1379,-,1379,0.11
17,DR MAHESH CHAND GAUR,Independent,1338,2,1340,0.11
18,JAI PARKASH SHARMA,Independent,1152,2,1154,0.1
19,VARUN GUPTA,Independent,1129,5,1134,0.09
20,SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,1063,3,1066,0.09
21,NARESH KUMAR,Samata Party,1028,4,1032,0.09
22,SATISH DHULL,Bharatiya Asha Party,991,6,997,0.08
23,ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,958,2,960,0.08
24,SEWA SINGH,Independent,717,1,718,0.06
25,ER VISHAL KUMAR,Independent,715,-,715,0.06
26,COMRADE RAMESH KHATKAR,Independent,714,3,717,0.06
27,OM PARKASH INDAL,Global Republican Party,675,3,678,0.06
28,PHOOL SINGH,Independent,625,1,626,0.05
29,SUNNY KASHYAP TEORA,Independent,576,-,576,0.05
30,RAMDIYA,Independent,553,3,556,0.05
31,MANGAT RAM,Independent,509,-,509,0.04
32,NOTA,None of the Above,2420,19,2439,0.2
