S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,576246,2243,578489,40.34
2,SHANTIRAM MAHATO,All India Trinamool Congress,559325,2085,561410,39.15
3,NEPAL CHANDRA MAHATO,Indian National Congress,128565,592,129157,9.01
4,AJIT PRASAD MAHATA,Independent,98381,277,98658,6.88
5,DHIRENDRANATH MAHATO,All India Forward Bloc,14498,74,14572,1.02
6,SONTOSH RAJOWARD,Bahujan Samaj Party,7739,21,7760,0.54
7,SUSMITA MAHATO,Socialist Unity Centre Of India (COMMUNIST),6078,31,6109,0.43
8,GORISH ROY,Independent,4800,9,4809,0.34
9,BHAGWAT DASS SHASTRI,Independent,4508,4,4512,0.31
10,ASIT BARAN MAHATO,Party for Democratic Socialism,3868,9,3877,0.27
11,PIJUSH KANTI RAJAK,Independent,3408,10,3418,0.24
12,AJIT MAHATO,Independent,3309,9,3318,0.23
13,NOTA,None of the Above,17871,58,17929,1.25
