S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),547814,2332,550146,48.3
2,KUMARI ANITA,Rashtriya Janata Dal,467412,1864,469276,41.2
3,SHANKAR PRASAD BIND,Independent,21016,7,21023,1.85
4,PRIYADARSHI PIYUSH,Independent,15718,13,15731,1.38
5,A. K. SINGH ‘ASHOK’,Independent,13809,16,13825,1.21
6,KUMAR NAVNEET HIMANSHU,Bahujan Samaj Party,12143,137,12280,1.08
7,KULDIP YADAV,Hindustan People's Party (Democratic),9455,31,9486,0.8300000000000001
8,NEETISH KUMAR,Independent,7470,37,7507,0.66
9,PRAVAL KUMAR,Independent,5366,9,5375,0.47000000000000003
10,RAVINDRA MANDAL,Socialist Unity Centre Of India (COMMUNIST),4893,20,4913,0.43
11,ADITYA SINGH MADHUKAR,Independent,4124,16,4140,0.36
12,PANKAJ KUMAR,Independent,3410,18,3428,0.30000000000000004
13,NOTA,None of the Above,21920,31,21951,1.9300000000000002
