S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2
2,JYOTI MIRDHA,Bharatiya Janata Party,550304,4426,554730,44.79
3,DR ASHOK CHOUDHARY,Abhinav Rajasthan Party,26251,43,26294,2.12
4,DR. GAJENDRA SINGH RATHORE,Bahujan Samaj Party,23551,457,24008,1.94
5,RAJKUMAR JAT,Independent,8219,13,8232,0.66
6,HARI RAM,Independent,7610,16,7626,0.62
7,PREMRAJ KHARDIYA,Independent,4504,8,4512,0.36
8,AMEEN KHAN,Independent,4439,24,4463,0.36
9,HANUMAN SINGH KALVI,Rashtriya Janshakti Party (Secular),2862,20,2882,0.23
10,NOTA,None of the Above,8711,60,8771,0.71
