S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91
2,VAIBHAV GEHLOT,Indian National Congress,592204,3036,595240,41.02
3,OTARAM,Bharat Adivasi Party,10077,32,10109,0.7000000000000001
4,SHAKUR,Independent,9866,6,9872,0.68
5,MOTI LAL,Aazad Samaj Party (Kanshi Ram),4579,7,4586,0.32
6,RAMESH KUMAR BHANDARI,Independent,3909,1,3910,0.27
7,DEVARAM,Independent,3126,8,3134,0.22
8,KALURAM MEGHWAL,Independent,2258,5,2263,0.16
9,DINESH SINGH,Independent,2094,11,2105,0.15
10,TIKMA RAM BHATI,Bheem Tribal Congress,1653,7,1660,0.11
11,DALARAM,Independent,1493,15,1508,0.1
12,FOJARAM,Indian Peoples Green Party,1493,4,1497,0.1
13,NOTA,None of the Above,18439,20,18459,1.27
