S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,YOGENDER CHANDOLIYA,Bharatiya Janata Party,863255,3228,866483,58.26
2,UDIT RAJ,Indian National Congress,574451,1183,575634,38.71
3,VIJAY BAUDDH,Bahujan Samaj Party,11955,42,11997,0.81
4,SURESH KUMAR,Peoples Party of India (Democratic),2869,1,2870,0.19
5,SANJAY KUMAR SIWAL,Rashtriya Janshakti Party (Secular),2866,-,2866,0.19
6,SUBHASH,Asankhya Samaj Party,2250,-,2250,0.15
7,RAJENDER SOOD,Aam Janshakti Party,1468,10,1478,0.1
8,PRAVEEN GAUTAM,Navarang Congress Party,1455,1,1456,0.1
9,K M KAJAL,Public Political Party,1334,8,1342,0.09
10,NARESH KUMAR,Independent,1270,5,1275,0.09
11,ADVOCATE SATISH CHANDRA,Ambedkarite Party of India,1236,1,1237,0.08
12,PARMENDRA MANJHI,Independent,1102,-,1102,0.07
13,ADVOCATE DR. MAHENDER SINGH CHURIYANA,Bahujan Dravida Party,1015,1,1016,0.07
14,CHANDER PAL SONI,Independent,891,-,891,0.06
15,ADITI,Independent,790,-,790,0.05
16,ADV. KRUPAL,Prabuddha Republican Party,673,2,675,0.05
17,NAND RAM BAGRI,Voters Party International,638,-,638,0.04
18,SHYAM BHARTEEY,Gareeb Aadmi Party,629,3,632,0.04
19,HARI KISHAN (MECHANIC),Independent,547,1,548,0.04
20,POOJA (BHAGTANI),Bharatiya Jan Jagriti Party,504,5,509,0.03
21,NARESH KUMAR,Rashtriya Samaj Paksha,499,1,500,0.03
22,PREETI,Saman Adhikar Party,495,8,503,0.03
23,SATYA PRAKASH UTTRAKHANDI,Independent,433,1,434,0.03
24,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,372,1,373,0.03
25,PRADEEP KUMAR,Independent,371,-,371,0.02
26,PUSHPA NAGRA,Independent,353,-,353,0.02
27,NOTA,None of the Above,8917,67,8984,0.6000000000000001
